original	translation
16075	
16076	
16077	
48024	
48025	
16079	
16080	
16081	
16082	
16083	
16084	
16085	
16086	
48026	
48027	
16088	
16089	
16090	
16091	
16092	
16093	
16094	
16095	
16096	
16097	
16098	
16099	
16100	
16101	
16102	
16103	
16104	
16105	
16106	
16107	
16108	
16109	
16110	
16111	
16112	
16113	
48028	
48029	
16115	
16116	
16117	
16118	
	47183
	47184
16119	47185
16120	47186
16121	47187
48030	47188
48031	47189
48032	52534
48033	52535
16124,16125	47191
16126	47192
16127,16128	47193
16129	47194
16130	47195
48034	52536
48035	52537
48036	47197
48037	47198
16133	47199
48038	52538
48039	52539
16135	47201
48040	47202
48041	47203
16137	47204
16138	47205
16139	47206
16140	47207
16141	47208
16142	47209
16143	47210
16144	47211
16145	47212
16146	47213
16147	47214
16148	47215
16149	47216
16150	47217
16151	47218
16152	47219
16153	62822
16154	47220
48042	47221
48043	47222
16156	47223
16157	47224
16158	47225
16159	47226
16160	47227
16161	47228
16162	47229
16163	47230
16164	47232
16165	47233
16166	47234
16167	
16168	
16169	
16170	
16171	
16172	
16173	
16174	
16175	
16176	
16177	
16178	
16179	
16180	
16181	
16182	
16183	
16184	
16185	
48044	
48045	
16187	
16188	
48046	
56952	
16190	
16191	
16192	
16193	
16194	
16195	
16196	
16197	
16198	
16199	
16200	
16201	
48048	
48049	
48050	47235
48051	55143
48052	47236
48053	47237
48054	52540
48055	52541
16206	47239
16207	47240
16208	47241
16209	
	47242
16210	62823
16211	47243
16212	47244
62839	62840
16213	47245
16214	47246
48056,48057	52542
16216	47248
16217	47249
16218	47250
16219	47251
16220	47252
16221,16222	47253
16223	47254
16224	47255
16225	47256
16226	47257
16227	47258
16228	47259
48058	47260
48059	47261
16230	47262
48060	47263
48061	62836
16232	47264
16233	52544
48062	52545
48063	52546
16235	47266
16236	
16237	
16238	
16239	
16240	
16241	
16242	
16243	
16244	
16245	
16246	
48064	
56954	
48065	
16248	
16249	
16250	
16251	
16252	
16253	
16254	
48066	
48067	
16256	
16257	
16258	
16259	
16260	
16261	
48068	
48069	
16263	
16264	
16265	
16266	
	37370
6500	37371,37372
6501	37373
6502	37374
47268	50598
47269	50599
6504	37376
6505	37377
6506	37378
6507	37379
6508	37380
47270,47271	37381
6510	37382
6511	37383
6512	37384
47272,47273	37385
6514	37386
6515	37387
6516	37388
6517	37389
6518	37390
6519	37391
6520	37392
6521	37393
6522	37394
6523	37395,37396
6524	37397
6525,6526	37398
6527	37399
6528	37400
6529	37401
	50600
6530,6531	50601,50602
47274	50603
47275	50604
6533	37404
6534	37405
6535	37406
6536,6537,6538,6539	37407,37408,37409
6540	37410
6541	37411
6542	37412,37413
6543,6544	37414
6545	64192
6546	64193
6547	37417
6548	37418
6549,57360	37419,37420
6550	37421
6551	50605
6552	50606
6553	37423
47276	50607
47277	50608
6555	37425
47278	50609
47279	50610
6557	37427
6558	37428
6559	37429,37430
6560	37431,37432
6561	50611,50612
6562	37434
6563	37435
6564	37436
6565	37437
6566	37438
6567	37439
6568	37440
6569	
6570	37441
6571	37442
6572	37443
6573	37444
6576	37447
47280	37448
47281,47282	37449
6578,57361	37450
6579	50615
6580	50616,50617
6581	37452
6582	37453
6583	37454
6584	37455
6585,6586	37456,37457
57051	37458
6588	37459
6589	37460
6590	37461
6591	37462
6592	37463
6593	37464
47283	37465
47284	37466
6595	37467
6596	37468
6597	37469
6598	37470
6599	37471
6600	37472
	37473
6601	37474
6602	37475
47285,47286	37476
6604	37477
6605	37478
6606	37479
6607	37480
6608	37481
6609	37482
6610	50618,50619
6611	37484
6612	37485
6613	37486
6614	37487
6615	37488
6616	37489
6617	37490
6618	37491
6619	37492
6620	37493
6621	37494,37495
6622	37496
6623,6624	50620
83596	50621
6625	37498
6626	37499
6627	37500
6628	37501
6629	37502
6630	37504
6631	
6632	37505
6633	37506
6634	37507
6635	37508
6636	37509
6637	37510
6638	37511
6639	37512
6640	37513
6641	37514,37515
6642	37516
6643	37517
58265	37518
6644	37519
6645	37520
6646	37521,37522
6647	37523
6648	37524
6649	37525
6650	37526
47287,47288	37527
6652	37528
6653,6654	37529,37530
6655	37531
6656	37532
6657	37533
6658	37534
6659	37535
6660	37536
6661	37537,37538
6662,6663	37539
6664	37540
6665	37541
6666	37542
6667,6668	37543
6669	37544
6670	37545
6671	37546
6672	37547
6673	37548,37549
6674,6675	50622,50623
6676,6677	37551,37552
6678	37553
6679	37554
6680	37555
6681	37556
6682	37557
6683	37558
6684	37559
6685	37560
6686	37561
6687	37562
6688	37563,37564
6689	37565
6690	37567
6691	37568
6692	37569
6693	37570,37571
6694	37572
47289,47290	37573
6696	37574
6697	37575
6698	37576,37577
6699	37578
6700,6701	37579
6702	37580
6703	37581
47291	50624
47292	50625
6705	37583
6706	37584
6707	37585
6708	37586
6709	37587
6710	37588
6711	37589
6712	37590,37591,37592,37593
6713	37594
6714	37595
47293	50626
47294	50627
6716	37597
6717	37598
6718	37599
6719	37600
6720	37601
6721	37602
6722	37603
6723	37604
6724	37605
6725	37606
6726	37607
6727	37608,37609
6728,6729	37610
6730	37611
6731	37612
6732	37613
6733	37614
6734	37615
6735	37616
6736	37617,37618
6737	37619
6738	37620,37621,58332
6739	37622
6740	37623
6741,57365	37624
6742	37625
6743	37626,37627
6744	37628
6745	37629
6746	37630
6747	37631
6748	37632
6749	37633
6750	37634
6751	50628
6752	50629
6753,57366	37636
57367	37637
6754	37638
47295	50630
47296	50631
6756	37640
6757	37641,37642
6758	37643
6759	37644
6760	37645
6761	37646
6762	37647
6763	37648
47297	37649
47298	37650
6765	37651
6766	37652
6767	37653
6768	37654,37655
6769	37656
6770,6771	37657
6772,6773	37658
6774	37659
6775	37660
6776	37661
6777	37662
6778	37663
6779,6780	37664
6781	37665,37666,37667
6782	37668
6783	37669
6784	37670
	37671
	37672
6785	37673,37674
6786	37675
6787	37676
6788	37677
47299,47300	37678,37679
6790	37680
6791	50632
57368	50633
6792	37682
6793	37683
6794,6795	37684
6796	37685
6797	50634
57369	50635
6798	37687
6799	37688
6800	37689
6801	37690
6802	37691
6803	37692
6804	37693
6805	37694
6806	37695
6807	37696
6808	37697
6809	
6810	
6811	
6812	
6813	
6814	
6815	
6816	
6817	
6818	
6819	
6820	
6821	
6822	
47301	
47302	
6824	
6825	
6826	
6827	
6828	
6829	
6830	
6831	
6832	
6833	
6834	
6835	
6836	
6837	
6838	
6839	
57370	
57371	
57372	
6840	
6841	
6842	
6843	37698
6844	37699
6845	37700
6846	37701
6847	37702
6848	37703
6849	37707
6850,6851	37708,37709
6852	37710
6853	37711
6854	37712
6855	37713
6856	37714
6857	37715,37716,37717
6859	37718
6860	37719
6862	37722
6863	37723
6864	37724
6865	37725
6866	37726
	37727
6867	37728
6868	37729
6869	37730
6870	37731,37732
6871	37733
6872	37734
6873	37736
6874,6875	37737
6876	37738
6877,6878	37739
6879	37740
6880,6881	37741
6882	37742
6883	37743
6884	37744
6885	37745
6886	50636,50637
6887	37747
6888	37748
6889	37749
6890	37750
6891	37751
6892	37753
6893	37754
6894,6895	37755
6896	37756
6897	37757
6898	37758
6899	37759
6900	37760
6901	37761
57376	37762
6902	37763
6903	37764
6904	37765
6905	37766
6906	37767
6907	37768
6908	37769
6909,6910	37770
6911	37771,37772
6912	37773
6913	37774
6914	37775
6915	37776
6916	37777
6917	37778
6918	37779,37780
6919	37781
6920	37782
6921	37783
47303	
47304	37784
6923	37785
57377	37786
6924	37787
6925	37788
47305,47306,6927	37789
6928	37790,37791
6929	37792
6930	37793
6931	37794
6932	37795
6933	37796
6934	37797
6935	37798
6936,6937	37799
6938	37800
6939	37801
6940	37802
6941	37803,37804
6942	37805
6943	50638
	50639
6944	37807
6945	37808
6946	37809
6947	37810,37811,37812
6948	37813
6949	37814
6950	37815
6951	37816
6952	37817
6953	37818
6954	37819
6955	37820
6956	37821
6957	37822
6958	37823
6959	37824
6960	37825
6961	37826
6962	37827
6963	37828
6964	37829
6965	37830
6966	37831
6967	37832,37833,37834
6968	37835,37836
6969	37837
6970	37838
6971	37839
6972	37840
47307	37841
47308	50640
47309	50641
6974	37843
6975	37844
6976	37845,37846
6977	37847
57052	37848
6979	37849
6980	37850
6981	50642
6982	50643
6983	37852
6984	37853
6985	37854
6986	37855
6987	37856
47310	37857
47311	37858,37859
6989	37860
6990	37861
6991	37862,37863
6992	37864
6993	37865
6994	37866
6995	37867,37868
6996	37869
6997	37870
6998	37871
6999	37872
7000	37873
7001	37874
7002	50644,50645
7003	37876
7004	37877
7005	37878
7006	37879
7007	37880
47312	37881
47313	37882
7009	37883
7010	37884
7011	37885,37886
7012	37887
7013	37888
7014	37889
7015	37890
7016	50646
7017	50647
7018	37892
7019	37893
7020	37894
7021	37895
7022	37896
7023	37897
7024	37898
7025	37899
7026	37900
7027	37901
7028	37902
7029	37903
7030	37904,37905
7031	37906
47314	37907
47315	37908
7033	37909
7034	37910
7035	37911
7036	37912
7037	37913
7038	37914
7039	37915
7040	37916
7041	37917
7042	37918
7043	37919
7044,7045	37920,37921
7046	37922,37923
7047	37924
7048	37925
7049	37926
7050	37927
7051	37928
7052	37929
7053	37930
7054	37931
7055	37932
7056	37933
7057	37934
7058	37935
7059	37936
7060	37937
7061	37938
47316	37939
47317	37940
47318,47319,7064	37941
47320	37942
47321	37943
7066	37944
7067	37945
7068	37946
7069	37947
7070	37948
7071	37949
7072	37950
47322	37951
47323	37952
47324	37953
47325	37954
47326	37955
47327	37956
7074	37957
7075	37958
7076	37959
7077	37960
47328	50648
47329	50649,37962
7079	37963
7080	37964
7081	37965
7082	37966
7083	37967
7084	37968
7085	37969
7086	37970
7087	37971
57364	37972
7088	37973
7089	37974
7090	37975
7091	37976
7092	37977
47330	37978
47331	37979
47332	37980
7094	37981
7095	37982
7096	37983
55127	37984
47333	37985
47334	37986
7098	37987
7099	37988
47335	37989
47336	37990
7101	37991
7102	37992
7103	37993
7104	37994
7105	37995
7106	37996
7107	37997
7108	37998
7109	37999
7110	38000
7111	38001
7112	38002
7113	38003,38004
7114	38005
7115	38006
7116	38007
7117	38008
7118	38009
7119	38010
47337	38011
47338	38012
7121,7122	38013
7123	38014
47339	38015
47340	50650
47341	50651
7125	38017
7126	38018
7127	38019
7128	38020
7129	38021
47342	38022
47343	50652
47344	50653
7131	38024
7132	38025
7133	38026
7134	38027
7135,55140	38028
7139	38033,38034
7140	38035
7141	38036
7142,7143	38037
7144	38038
7145	38039,38040
7146	38041
7147	38042
7148	38043
7149	38044
7150	38045
7151	38046
7152,7153	38047,38048,38049
7154,7155	38050,38051
7156	38052
7157	38053
7158	38054,38055,38056
7159	50654,50655
7160	38058
7161	38059
47345,47346	38060
7163	38061
7164	38062
47347	38063
47348,47349	38064
47350	38065
47351	38066
47352	38067,64194
47353	38069
47354	38070
7169	38071
	38072
7170	38073
7171	38074,38075
7172	38076
7173	38077
7174	38078
7175	38079
7176	38080
7177	38081
7178	38082
7179	38083
7181	38084
7182	38085
7183	50656
7184	50657
7185	38087
7186	38088
7187	38089
7188	38090
7189	38091
7190	38092
7191	38093
7192	38094
7193	38095
7194	38096
7195	38097
7196	38098
7197	38099
7198,47355	38100
47356	56889
47357	38101
47358	56898
7201	38102,56890
7202	38103
7203	38104
7204	38105
7205	38106
7206	38107
7207	38108
7208	38109
7209	38110
7210	38111
7211	38112
7212	38113
7213	38114
7214	38115
7215,7216	38116
7217	38117
7218	38118
7219	38119
7220,7221	38120
7222	38121
7223	38122
7224	38123
7225	38124
7226	38125
7227	38126
7228	38127
7229	38128
7230	38129
7231	38130
7232	38131
7233	38132
7234	38133
7235	38134
7236	38135
7237	38136
7238	38137
7239	38138
7240	38139
7241	38140
7242	38141
7243	38142
7244	38143
7245	38144
7246	38145
7247	38146
47359	38147
56895	56894
56896	38148
	38149
7249	38150
7250	38151
7251	38152
7252	38153
7253	38154
7254	38155
7255	38156
7256	38157
7257	38158
7258	38159
7259	38160
7260	38161
7261	50658
7262	50659
7263	38163
7264	38164
7265	38165
7266	38166
7267	
7268	
7269	
7270	
7271	
47361	
47362	
7273	
47363	
47364	
7275	
7276	
7277	
7279	
7280	
7282	
7283	
7284	
7285	
7286	
47365	
47366	
47367	
