original	translation
6571	36429
6572	36430
6573	50241
6576,47280	36433
47281,47282	50243
6578	50244,50245
57361	50246
6579	36436
6580	36437
6581	36438,50247
6582	50248
6583	36440
6584	50249
6585,6586	50250,36442
57051	36444
6588	36445
6589	50251
6590	50252
6591	36448
6592	36449
6593	36450
47283	50253
47284	50254
6595	36452
6596	36453
6597	50255
6598	50256
6599	36456
6600	50257
	50258
6601	36458
6602	36459
47285	50259
47286	50260
6604	36461
6605,6606	36462
6607	50261
6608	50262
6609	50263
6610	36466
6611	36467
6612	50264
6613	50265
6614	50266
6615	36469
6616	36471
6617	36472
6618	50267
6619	50268,36474
6620	36475
6621	36476
6622	36477
6623	36478
6624	36479
83596	63479
6625	36480
6626	36481
6627	36482
6628	36483
6629	36484
6630	50269
6631	50270
6632	36487
6633	36488
6634	36489
6635	36490
6636	36491
6637	36492
6638	36493
6639	36494
6640	36495
6641	36496
6642	36497
6643	36498
58265,6644	36499
6645	36500
6646	50271,50272
6647	50273
6648	50274
6649	50275
6650	36503
47287,47288	36504
6652	36505
6653	36506
6654	36507
6655	36508
6656	36509
6657	36510
6658	50276,50277
6659	36512
6660	36513
6661	36514
6662	36515
6663	36516
6664	36517
6665	36518
6666	50278
6667	50279
6668	36520
6669	50280
6670	50281,36523
6671	36524
6672	36525
6673	50282,50283
6674,6675	36527,36528
6676	36529
6677,6678	50284,50285
6679	36532
6680	36533
6681	36534
6682	36535
6683	36536
6684	36537
6685	36538
6686	36539
6687	50286
6688	50287
6689	36543
6690	36544
6691	50288
6692	50289,36546
6693	36547
6694	36549
47289	50290
47290	50291
6696	36551
6697	36552
6698	36553
6699	50292,50293
6700	36555
6701	36556,50294
6702	50295
6703	36558,50296
47291,47292	50297
6705	36560
6706	50298
6707	50299
6708	36562
6709	36563
6710	36564
6711	36565
6712	36566
6713	36567
6714	36568
47293	50300
47294	50301
6716	50302
6717	50303
6718	50304
6719	50305
6720	50306
6721	50307
6722	36574
6723	36575
6724	36576
6725	36577
6726	36578
6727	36579
6728	36580
6729	36581
6730,6731	36582
6732	36584
6733	36585
6734	50308
6735	50309,36587
6736	36588
6737	36589
6738	50310,50311,50312
6739	36591
6740	36592
6741	36593
57365	156593
6742	36594
6743	36595
6744	36596
6745	36597
6746	50313
6747	50314
6748	36599
6749	36600
6750	50315
6751	50316
6752	50317,36602
6753	50318
57366	50319
57367	50320
6754	36604
47295	50321
47296	50322
6756	36606
6757	36607
6758	36608
6759	36609
6760	50323
6761	50324
6762	36612
6763	36613
47297	50325
47298	50326
6765	36615
6766	36616
6767	36617
6768	36618
6769	36619
6770,6771	36620
6772	36622
6773	36623
6774	36624
6775	36625
6776	36626
6777	50327
6778	50328,50329
6779	36629
6780	36630
6781	36631
6782	50330
6783	50331
6784	50332
	50333
	50334
6785	36635
6786	36636
6787,6788	36637
47299	50335
47300	50336,50337
6790	36640
6791	50338
57368	50339
6792	36642
6793	36643
6794,6795	50340
6796	50341
6797	50342
57369	50343
6798	36648
6799	36649
6800	50344
6801	50345
6802	50346
6803	50347
6804	50348,50349
6805	50350
6806	50351
6807	36656
6808	36657
6809	50352
6810	50353
6811	36659,36660
6812	36661
6813	36662
6814	36663
6815	36664
6816	50354,50355
6817	36666
6818	36667
6819	36668
6820	36669
6821	36670
6822	36671
47301,47302	36672
6824	36673
6825	36674
6826	36675
6827	36676
6828	36677
6829	36678
6830	36679
6831	36680
6832	36681
6833	36682
6834	36683
6835	36684
6836	36685
6837	36686,50356
6838	50357
6839	50358
57370	50359
57371	50360
57372	50361
6840	36689
6841	36690
6842	36691
6843	36692
6844	36693
6845	36694
6846	36695
6847	36696
6848	36697,55129,55130
6849	36698
6850	36699
6851	50362,50363
6852	36701
6853	36702
6854	50364
6855	50365
6856	50366
6857	50367,36706
6859	50368
6860	50369
6862	36710
6863	36711
6864	36712
6865	36713
6866	50370
	50371
6867	36715
6868	36716
6869	36717
6870	36718
6871	36720
6872	36721
6873	36722
6874,6875	36723
6876	36725
6877	36726
6878	36727
6879	36728
6880	36729
6881	36730
6882,6883	36731
6884	36732
6885	50372
6886	50373,36734
6887	36735
6888	36736
6889	36737
6890	50374
6891	50375
6892	36740
6893	36741
6894	36742
6895	36743
6896	50376,50377
6897	36745
6898	36746
6899	36747
6900	36748
6901	50378
57376	50379
6902	50380
6903	50381
6904	50382
6905	50383
6906,6907	36752
6908	36754
6909	36755
6910	50384,50385
6911	36757
6912	36758
6913	36759
6914	36760
6915	36761
6916	36762
6917	36763
6918	50386,50387
6919	36765
6920	36766
6921	36767
47303	50388
47304	50389
6923	50390
57377	50391
6924	36770
6925	36771
47305,47306,6927	36772,36773
6928	36774
6929	50392
6930	50393
6931	50394
6932	50395
6933	50396
6934	50397
6935	50398
6936	36779
6937	36780
6938	36781
6939	36782
6940	50399,50400
6941	36784
6942	50401
6943	50402
6944	36787
6945	36788
6946	36789
6947	50403,50404
6948	50405
6949	50406
6950	36792
6951	36793
6952	36794
6953	36795
6954	36796
6955	36797
6956	50407
6957	50408
6958	36800
6959	50409
6960	50410
6961	36803
6962	36804
6963	36805
6964	36806
6965	
6966	36807
6967	36809
6968	36810
6969	36811
6970	36812
6971	36813
6972	36814
47307	50411
47308	50412
47309	50413
6974	36816
6975	36817
6976	36818
