original	translation
47998	14366
47999	14367
16002	14368
16003	14369
16004	14370
16005	14371
16006	14372
16007	14373
16008	14374
16009	14375
16010	14376
48000	14377
48001	14378
16012	14379
48002	47576
48003	47577
16014	14381,14382
48004	14383
16016	14384
16017	14385
16018	14386
16019	14387
16020	14388
48006,48007	14389
16022	14390
48008	14391
48009	62977
48010,48011	14392
16025	14393
16026	14394
16027	14395
16028	14396
16029	14397
16030	14398
16031	14399
16032	14400
16033,16034	14401
16035	14402
16036	14403
16037	14404
16038	14405
48012,48013	62821
48014,48015	14407
16041	14408
16042	14409,14410
16043	14411
16044	14412
48016	14413
48017	14414
16046	14415
16047	14416
48018	14417
48019	14418
16049	14419
16050	14420
16051	14421
16052	14422
16053	14423
16054	14424
16055	14425
16056	14426
16057	14427
48020	14428
48021	14429
16059	14430
16060	14431
16061	14432
16062	14433
16063	14434
16064	14435
16065	14436
16066	14437
16067	14438
16068	14439
48022,48023	14440
16070	14441
16071	14442
16072	14443
16073	14444
16074	14445
16075	14446
16076	14447
16077	14448
48024	14449
48025	62978
16079	14450
16080	14451
16081	14452
16082	14453
16083	62979
16084	14454
16085	58311
16086	14456
48026	14457
48027	14458
16088	14459
16089	14460
16090	14461
16091	14462
16092	14463
16093	14464
16094	14465
16095	14466
16096	14467
16097	14468
16098	14469
16099	14470
16100	14471
16101	14472,14473
16102	14474,14475
16103	14476
16104	14477
16105	14478
16106	14479
16107,16108	14480
16109	14481
16110	14482
16111	14483
16112	14484
16113	14485
48028	14486
48029	62980
16115	14487
16116	14488
16117	14489
16118	14490
16119	14491
16120	14492
16121	14493
48030	47578
48031	47579
48032,48033	14495,62981
16124	14496
16125	14497
16126	14498
16127	14499
16128	14500
16129	14501
16130	14502
48034	14503
48035	62982
48036	62983
48037	14506
16133	14507
48038,48039	14508
16135	14509
48040	14510
48041	14511
16137	14512
16138	14513
16139	14514
16140	14515
16141	14516
16142	14517
16143	14518
16144	14519
16145	14520,14521
16146	14522
16147	14523
16148	14525
16149	14526
16150	14527
16151	14528,14529
16152,16153	14530
16154	14531
48042	14532
48043	14533
16156	14534
16157	14535
16158	14536
16159	14537
16160	14538
16161	14539
16162	14540
16163	14541
16164	14543
16165	14544
16166	14545
16167	14546
16168	14547
16169	14548
16170	14549
16171	14550
16172	14551
16173	14552
16174,16175	14553
16176	
	14554
	14555
16177	14556
16178	14557
16179	14558
16180	14559
16181	14560
16182	14562
16183	14563
16184	14564
16185	14565
48044	14566
48045	14567
16187	14568
16188	14569,14570
48046	14571
